"Kyn";"Aldursflokkur/Buseta";"Menntun";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013"
"Alls";"Utan hofudborgarsvaedis 16-74 ara";"Haskolamenntun - ISCED 5, 6";8900;9600;11000;11500;10700;11300;12600;12600;13000;15300;15500
"Alls";"Utan hofudborgarsvaedis 16-74 ara";"Upplysingar vantar";300;400;300;500;400;200;100;0;0;100;200
"Alls";"Hofudborgarsvaedi 25-64 ara";"Alls";91200;92100;92800;99000;104000;106200;106200;105200;104800;102700;104500
"Alls";"Hofudborgarsvaedi 25-64 ara";"Grunnmenntun - ISCED 1, 2";25000;24500;23100;23500;23700;25600;25200;24300;25400;24900;23700
"Alls";"Hofudborgarsvaedi 25-64 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";34600;36300;36700;39300;41000;39600;39200;39900;36900;35800;36500
"Alls";"Hofudborgarsvaedi 25-64 ara";"Haskolamenntun - ISCED 5, 6";30900;31000;32500;35700;38800;40900;41700;41000;42400;41900;44200
"Alls";"Hofudborgarsvaedi 25-64 ara";"Upplysingar vantar";600;300;500;500;400;100;100;0;100;100;100
"Alls";"Utan hofudborgarsvaedis 25-64 ara";"Alls";51900;53000;54600;55400;56700;57900;57400;57400;57200;58500;58800
"Alls";"Utan hofudborgarsvaedis 25-64 ara";"Grunnmenntun - ISCED 1, 2";24200;24300;23500;24800;25500;25300;24100;23400;22300;22200;21700
"Alls";"Utan hofudborgarsvaedis 25-64 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";19000;19300;20400;19700;20700;21700;21100;21900;22600;21800;22400
"Alls";"Utan hofudborgarsvaedis 25-64 ara";"Haskolamenntun - ISCED 5, 6";8400;9200;10500;10600;10200;10800;12100;12100;12200;14400;14500
"Alls";"Utan hofudborgarsvaedis 25-64 ara";"Upplysingar vantar";300;300;200;300;300;100;100;0;0;100;200
"Karlar";"16 til 74 ara";"Alls";99600;100300;102300;108100;112900;115300;113900;112400;112700;113000;114800
"Karlar";"16 til 74 ara";"Grunnmenntun - ISCED 1, 2";36000;34800;35500;39000;39700;41900;41900;40600;40400;39800;39700
"Karlar";"16 til 74 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";42900;44500;44900;45700;47400;47000;45600;47400;47600;47400;47600
"Karlar";"16 til 74 ara";"Haskolamenntun - ISCED 5, 6";20000;20400;21300;22800;25100;26200;26200;24400;24800;25800;27400
"Karlar";"16 til 74 ara";"Upplysingar vantar";700;500;600;600;600;300;200;0;100;100;200
"Karlar";"25 til 64 ara";"Alls";72100;73100;74500;79800;83800;85400;83800;82000;81400;81100;82200
"Karlar";"25 til 64 ara";"Grunnmenntun - ISCED 1, 2";20500;19500;19400;22200;22800;24000;23700;22600;22100;22300;21400
"Karlar";"25 til 64 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";32800;34300;34900;36100;37100;36800;35400;36800;36400;35300;36300
"Karlar";"25 til 64 ara";"Haskolamenntun - ISCED 5, 6";18200;18900;19800;21100;23400;24400;24500;22600;22900;23400;24300
"Karlar";"25 til 64 ara";"Upplysingar vantar";500;400;400;400;400;100;100;0;0;100;100
"Karlar";"16 til 19 ara";"Alls";8100;8200;8700;9000;9500;9600;9700;9500;9500;9400;9200
"Karlar";"16 til 19 ara";"Grunnmenntun - ISCED 1, 2";7300;7400;7800;8300;8700;9200;9500;9300;9200;9200;8900
"Karlar";"16 til 19 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";800;800;800;700;800;400;200;300;200;200;300
"Karlar";"16 til 19 ara";"Haskolamenntun - ISCED 5, 6";0;0;0;0;0;0;0;0;0;0;0
"Karlar";"16 til 19 ara";"Upplysingar vantar";0;0;0;0;0;0;0;0;0;0;0
"Karlar";"20 til 24 ara";"Alls";10700;10200;10300;10600;10800;11300;11200;11200;11600;11700;12100
"Karlar";"20 til 24 ara";"Grunnmenntun - ISCED 1, 2";4800;4500;4900;5200;5100;5700;5600;5300;5200;5000;5800
"Karlar";"20 til 24 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";5400;5400;5200;4900;5500;5400;5300;5700;6100;6400;5700
"Karlar";"20 til 24 ara";"Haskolamenntun - ISCED 5, 6";400;200;300;400;300;200;300;300;300;400;600
"Karlar";"20 til 24 ara";"Upplysingar vantar";100;0;0;0;0;0;0;0;0;0;0
"Karlar";"25 til 29 ara";"Alls";9600;9600;10100;10800;11700;12500;11900;11300;10800;10400;10500
"Karlar";"25 til 29 ara";"Grunnmenntun - ISCED 1, 2";3200;2800;3100;3700;3700;4000;4200;3600;3100;3600;3700
"Karlar";"25 til 29 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";4100;4700;4400;4600;5400;5800;5000;5100;5000;4200;4000
"Karlar";"25 til 29 ara";"Haskolamenntun - ISCED 5, 6";2300;2000;2500;2500;2600;2800;2700;2600;2700;2500;2800
"Karlar";"25 til 29 ara";"Upplysingar vantar";0;100;100;0;0;0;0;0;0;0;0
"Karlar";"30 til 49 ara";"Alls";40900;41100;41200;44100;45900;46000;44500;43100;42700;42400;42700
"Karlar";"30 til 49 ara";"Grunnmenntun - ISCED 1, 2";11000;10500;9800;11300;11700;12700;12300;11300;11500;10400;10300
"Karlar";"30 til 49 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";18400;18800;19200;19400;19500;18800;18000;18400;17800;18200;17800
"Karlar";"30 til 49 ara";"Haskolamenntun - ISCED 5, 6";11300;11700;12000;13300;14400;14400;14100;13400;13300;13800;14500
"Karlar";"30 til 49 ara";"Upplysingar vantar";200;100;200;100;200;100;100;0;0;0;100
